CountryOfCitizenship,EstWorthPrev,FinalWorth,Gender,Industries,PersonName,Rank,Source
China,1455.830185,1445.467,M,Healthcare,Wang Junmin,1967,Pharmaceuticals
United States,1453.122156,1448.282,M,Energy,Dan Wilks,1965,Natural gas
Vietnam,1452.328592,1452.893,M,Automotive,Tran Ba Duong & family,1960,Automotive
United States,1449.08862,1448.931,M,Technology,Steve Case,1963,AOL
Australia,1447.574373,1447.574,M,Real Estate,Terry Snow,1966,"Airports, real estate"
United States,1447.36548,1439.521,M,Finance & Investments,George Joseph,1971,Insurance
Switzerland,1446.857745,1449.58,M,Healthcare,Giammaria Giuliani,1962,Pharmaceuticals
India,1446.045513,1462.19,M,Construction & Engineering,Dhruv Sawhney,1957,"Engineering, sugar"
Finland,1444.688278,1464.284,F,Manufacturing,Ilona Herlin,1953,"Elevators, escalators"
China,1444.439257,1451.857,F,Logistics,Zhang Xiaojuan,1961,Logistics
Russia,1443.994765,1443.995,M,Energy,Airat Shaimiev,1968,"Refinery, chemicals"
Japan,1443.862047,1545.317,M,Healthcare,Keiichi Shibahara,1850,Healthcare
India,1440.466826,1440.467,M,Food & Beverage,Shiv Kishan Agrawal,1969,Snacks
China,1440.0,1440.0,M,Technology,Swift Xie,1970,Drones
India,1439.52542,1434.513,M,Food & Beverage,Amit Burman,1977,Consumer goods
Norway,1438.268683,1438.269,F,Diversified,Alexandra Andresen,1972,Investments
Norway,1438.268683,1438.269,F,Diversified,Katharina Andresen,1972,Investments
Canada,1436.700874,1432.633,M,Finance & Investments,Stephen Jarislowsky,1980,Money management
Japan,1435.215947,1435.216,M,Fashion & Retail,Yoshiaki Yoshida,1976,cosmetics
Russia,1434.788941,1433.829,M,Manufacturing,Pyotr Kondrashev,1978,Investments
Israel,1433.637841,1436.769,M,Diversified,Zadik Bino & family,1975,"Banking, oil"
Brazil,1431.381584,1467.511,M,Manufacturing,David Feffer,1950,Pulp and paper
United States,1430.29605,1426.859,M,Logistics,Jerry Moyes & family,1989,Transportation
Indonesia,1428.611628,1425.243,M,Energy,Kiki Barki,1995,Coal
Spain,1428.528945,1428.391,M,Finance & Investments,Alberto Alcocer,1984,Investments
Singapore,1427.938897,1427.939,M,Real Estate,Kwee Liong Keng,1985,Real estate
Singapore,1427.938897,1427.939,M,Real Estate,Kwee Liong Phing,1985,Real estate
Singapore,1427.938897,1427.939,M,Real Estate,Kwee Liong Seen,1985,Real estate
Singapore,1427.938897,1427.939,M,Real Estate,Kwee Liong Tek,1985,Real estate
United Kingdom,1425.531915,1425.532,M,Diversified,John Bloor,1993,"Real estate, manufacturing"
United States,1425.1797,1420.242,M,Fashion & Retail,Richard Hayne,1999,Urban Outfitters
India,1424.328709,1424.329,M,Healthcare,Anand Surana,1996,Pharmaceuticals
India,1424.328709,1424.329,M,Healthcare,Dilip Surana,1996,Pharmaceuticals
United States,1424.1462,1429.005,M,Service,Mitchell Jacobson,1983,Industrial equipment
South Korea,1423.869567,1426.75,M,Diversified,Lee Ho-jin,1990,Diversified
Canada,1421.672727,1421.673,M,Food & Beverage,Brandt Louie,1998,Drugstores
China,1420.57392,1425.397,M,Technology,Qi Xiangdong,1994,Software
Japan,1420.46408,1437.393,M,Technology,Kagemasa Kozuki,1974,video games
China,1419.862516,1414.408,M,Healthcare,Liu Gexin & family,2002,Pharmaceuticals
China,1419.33507,1351.353,M,Healthcare,Jinsheng Ren & family,2087,Pharmaceutical
Spain,1419.118104,1387.671,M,Manufacturing,Francisco Jose Riberas Mera,2040,"Steel, autoparts"
Thailand,1418.6161,1411.088,M,Media & Entertainment,Krit Ratanarak,2004,"Media, real estate"
Spain,1415.707063,1415.57,M,Finance & Investments,Alberto Cortina,2001,Investments
United States,1415.035149,1431.513,M,Diversified,William Franke,1981,Low-cost airlines
Canada,1414.04524,1412.913,M,Technology,Stewart Butterfield,2003,Messaging software
United States,1413.404855,1429.104,M,Technology,James Scapa,1982,Software
Thailand,1412.372018,1386.383,M,Real Estate,William Heinecke,2042,Hotels
United States,1411.93277,1408.457,M,Technology,Paul Sciarra,2007,Pinterest
India,1410.9,1410.9,M,Technology,Binny Bansal,2006,Flipkart
Israel,1410.73536,1410.949,M,Technology,Marius Nacht,2005,Software
Israel,1408.19002,1405.171,M,Healthcare,Mori Arkin,2013,Pharmaceuticals
India,1408.113492,1408.113,M,Healthcare,M.Satyanarayana Reddy,2009,Pharmaceuticals
Brazil,1407.933557,1400.701,M,Technology,Luis Frias,2021,mobile payments
Russia,1407.330703,1407.331,M,Fashion & Retail,Sergei Katsiev,2011,"Retail, wholesale"
China,1407.035155,1382.058,M,Metals & Mining,Lin Lairong & family,2050,Iron ore mining
Hong Kong,1405.224663,1398.304,M,Real Estate,Vincent Lo,2025,Real estate
Australia,1404.624277,1404.624,F,Metals & Mining,Angela Bennett,2014,Mining
Russia,1404.489364,1404.489,M,Energy,Ziyavudin Magomedov,2015,"port, gas"
Finland,1404.466715,1407.802,M,Diversified,Antti Aarnio-Wihuri,2010,Diversified
Indonesia,1403.019818,1405.864,M,Diversified,Mochtar Riady & family,2012,Diversified
United States,1402.138872,1403.58,M,Finance & Investments,Scott Nuttall,2017,Private equity
India,1401.294844,1401.295,M,Real Estate,Subhash Runwal,2019,Real estate
Italy,1400.740575,1398.686,F,Fashion & Retail,Barbara Benetton,2024,"Fashion retail, investments"
Sweden,1400.0,1400.0,M,Technology,Ali Ghodsi,2022,Data analytics
Lebanon,1400.0,1400.0,M,Construction & Engineering,Ayman Hariri,2022,"Construction, investments"
Chile,1399.584499,1395.95,F,Diversified,Patricia Angelini Rossi,2028,"Forestry, mining"
China,1398.391215,1390.968,M,Healthcare,Gan Zhongru,2037,Pharmaceuticals
Russia,1397.0,1397.0,M,Metals & Mining,Anatoly Lomakin,2026,Investments
Hong Kong,1395.166772,1383.185,M,Real Estate,Christopher Kwok,2046,Real estate
Hong Kong,1394.73199,1382.751,M,Real Estate,Edward Kwok,2047,Real estate
Brazil,1393.106501,1393.107,M,Food & Beverage,Itamar Locks & family,2032,Agribusiness
Russia,1392.994765,1392.995,M,Energy,Radik Shaimiev,2033,"Refinery, chemicals"
Brazil,1392.939304,1392.939,M,Food & Beverage,Blairo Maggi,2034,Agribusiness
United Kingdom,1392.817612,1392.818,M,Fashion & Retail,Bernard Lewis & family,2035,Fashion retailer
Canada,1392.327206,1426.44,F,Fashion & Retail,Pan Dong,1991,Consumer goods
Australia,1392.279175,1391.448,F,Finance & Investments,Gretel Packer,2036,Investments
China,1392.057103,1388.389,F,Real Estate,Su Suyu & family,2039,"Utilities, real estate"
Indonesia,1391.623562,1379.847,M,Logistics,Soegiarto Adikoesoemo,2055,Chemicals
China,1391.281812,1393.784,M,Manufacturing,Huxiong Chen,2031,Stationery
China,1391.149083,1400.785,M,Healthcare,Ke Zunhong & family,2020,Pharmaceuticals
United States,1390.96896,1394.61,M,Real Estate,Patrick Zalupski,2029,homebuilding
Spain,1390.399534,1360.819,M,Metals & Mining,Juan Maria Riberas Mera,2072,"Steel, investments"
China,1390.286067,1404.178,M,Food & Beverage,Jianping Lai,2016,Soy sauce
United States,1390.01,1390.01,M,Real Estate,Martin Selig,2038,Real estate
United States,1387.73402,1394.047,F,Healthcare,Alice Schwartz,2030,Biotech
Germany,1387.601054,1415.934,M,Fashion & Retail,Christoph Henkel,2000,Consumer goods
China,1386.410432,1386.41,M,Technology,Jianyi Wang,2041,Fiber optic cables
India,1386.038727,1353.528,M,Manufacturing,Kochouseph Chittilappilly,2082,Electrical appliances
China,1385.664379,1385.664,M,Real Estate,Miao Shouliang,2044,Real estate
United States,1384.205231,1382.059,F,Fashion & Retail,Doris Fisher,2049,Gap
Italy,1383.991979,1386.168,M,Fashion & Retail,Mario Moretti Polegato & family,2043,Shoes
Japan,1381.488373,1382.734,M,Fashion & Retail,Nobutoshi Shimamura,2048,retail
United States,1381.262,1366.196,M,Fashion & Retail,Daniel Hirschfeld,2067,Fashion retail
United States,1381.184817,1380.121,M,Finance & Investments,J. Christopher Flowers,2054,Investments
United States,1380.620614,1380.621,M,Finance & Investments,Cameron Winklevoss,2051,Cryptocurrency
United States,1380.5839,1380.584,M,Finance & Investments,Tyler Winklevoss,2052,Cryptocurrency
United States,1379.70994,1378.399,M,Energy,Farris Wilks,2058,Natural gas
Canada,1377.993131,1403.046,M,Finance & Investments,V. Prem Watsa,2018,"Insurance, investments"
India,1376.297107,1380.581,M,Healthcare,Shyam Bhartia,2053,"Pharmaceuticals, food"
India,1374.882129,1379.163,M,Diversified,Hari Bhartia,2057,Diversified
China,1374.740916,1433.559,M,Technology,Li Wanqiang,1979,Smartphones
Brazil,1373.993755,1371.354,M,Healthcare,Candido Pinheiro Koren de Lima,2062,"hospitals, health insurance"
Brazil,1373.727798,1408.362,M,Manufacturing,Daniel Feffer,2008,Pulp and paper
China,1373.67032,1314.408,M,Technology,Chen Wenyuan & family,2129,Testing equipment
China,1373.103973,1372.03,M,Manufacturing,Cao Ji,2061,Manufacturing
Czech Republic,1372.142565,1379.681,M,Technology,Eduard Kucera,2056,Software
Canada,1371.883179,1374.884,M,Finance & Investments,Gerald Schwartz,2060,Finance
Australia,1370.301862,1370.302,M,Fashion & Retail,Nigel Austin,2063,Retail
Taiwan,1369.887646,1385.598,M,Manufacturing,Yeh Kuo-I,2045,Manufacturing 
Barbados,1367.8,1367.8,F,Fashion & Retail,Rihanna,2065,"Music, cosmetics"
China,1367.389292,1356.528,M,Manufacturing,Li Jiaquan,2075,Chemicals
China,1366.372455,1425.625,M,Technology,Hong Feng,1992,Smartphones
Ukraine,1366.269586,1366.4,M,Metals & Mining,Vadim Novinsky,2066,Steel
India,1365.358172,1365.358,M,Healthcare,Girdhari Lal Bawri,2068,Pharmaceuticals
United States,1365.0,1365.0,M,Technology,Jared Smith,2069,Cloud computing
Russia,1363.314064,1363.314,M,Diversified,Zakhar Smushkin,2070,"Pulp and paper, diversified"
United States,1362.882118,1376.883,M,Finance & Investments,Henry Engelhardt,2059,Insurance
Brazil,1362.079769,1396.114,M,Manufacturing,Ruben Feffer,2027,Pulp and paper
Taiwan,1360.288945,1360.289,F,Manufacturing,Tseng Sing-ai,2073,Petrochemicals
Hong Kong,1360.021066,1315.865,M,Technology,Tang Xiao'ou,2126,Software
China,1358.665832,1369.682,F,Technology,Ye Qiongjiu,2064,Software
Norway,1356.48,1356.48,M,Service,Torstein Hagen,2076,Cruises
United States,1354.1388,1348.936,M,Technology,Jeffrey Michael & family,2089,Data management
Sweden,1353.850375,1353.85,F,Manufacturing,Jenny Lindén Urnes,2080,Powdered metal
India,1352.741186,1352.741,M,Manufacturing,Rameshchandra Jain,2084,Textiles
China,1352.557545,1352.558,M,Logistics,Jet Jie Li,2085,package delivery
United States,1351.777793,1355.026,M,Automotive,Sunjay Kapur,2078,Auto parts
China,1351.544269,1351.544,M,Metals & Mining,Zhang Xuexin & family,2086,Aluminum
India,1350.879899,1350.88,M,Finance & Investments,Hemendra Kothari,2088,Financial services
South Korea,1350.362468,1339.583,M,Technology,Lee Hae-jin,2104,Internet
China,1349.517818,1353.118,M,Manufacturing,Cao Jianwei,2083,Semiconductors
Peru,1347.724055,1345.006,F,Finance & Investments,Anne Marie See Pastor,2091,Finance
Peru,1347.724055,1345.006,M,Finance & Investments,George Pastor,2091,Finance
Peru,1347.704955,1344.987,M,Finance & Investments,Carlos Rodriguez-Pastor,2093,Finance
China,1346.159231,1362.706,M,Food & Beverage,Pan Laican,2071,Soy sauce
China,1345.099725,1353.625,M,Manufacturing,Ke Guihua,2081,Auto parts
Hong Kong,1344.669979,1336.363,M,Real Estate,Li Wa,2106,Real estate
Russia,1344.252094,1344.252,M,Construction & Engineering,Boris Rotenberg,2096,"Construction, pipes, chemicals"
United States,1343.93804,1344.475,M,Finance & Investments,Alfred West Jr,2094,Money management
Singapore,1343.074312,1343.074,M,Diversified,Kwek Leng Keow,2097,Diversified
Singapore,1343.074312,1343.074,M,Diversified,Kwek Leng Peck,2097,Diversified
China,1340.415484,1328.651,M,Manufacturing,Wu Ying,2111,Materials
China,1340.291871,1337.21,F,Healthcare,Xie Juhua & family,2105,Pharmaceuticals
France,1337.357623,1324.766,M,Real Estate,Alain Taravella,2116,Real estate development
China,1336.72011,1340.771,M,Manufacturing,He Zhenggang,2103,Chemicals
United States,1334.090942,1325.653,M,Finance & Investments,Fred Ehrsam,2115,cryptocurrency exchange
China,1333.613728,1347.517,M,Healthcare,Yi Xianzhong & family,2090,Pharmaceuticals
Taiwan,1332.115443,1356.01,M,Manufacturing,Wu Li-gann,2077,Electronic components
India,1330.039979,1330.04,M,Real Estate,Jupally Rameshwar Rao,2108,Real estate
India,1329.955914,1329.956,M,Healthcare,Banwari Lal Bawri,2109,Pharmaceuticals
India,1329.883858,1329.884,M,Healthcare,Rajendra Agarwal,2110,Pharmaceuticals
China,1329.772596,1316.464,M,Fashion & Retail,Zhou Zongwen & family,2125,Jewelry
China,1327.81757,1327.818,M,Technology,Chen Zhisong,2113,Communication equipment
China,1327.213384,1353.953,M,Healthcare,Gao Yi & family,2079,Pharmaceuticals
Turkey,1326.675489,1328.193,M,Diversified,Hamdi Akin & family,2112,Diversified
United States,1326.4389,1341.556,M,Technology,Jim McKelvey,2102,Mobile payments
Canada,1326.215816,1326.216,M,Finance & Investments,Michael Lee-Chin,2114,Mutual funds
China,1325.699967,1342.426,M,Real Estate,Zhaobai Jiang,2100,Real estate
Russia,1324.10683,1324.107,M,Diversified,Igor Rotenberg,2117,"Investments, real estate"
China,1323.836,1322.36,M,Logistics,Wang Jilei,2119,Logistics
Germany,1323.603453,1283.464,M,Finance & Investments,Carsten Maschmeyer,2170,Finance services
Russia,1322.527995,1322.528,M,Diversified,Albert Shigaboutdinov,2118,"Refinery, chemicals"
United States,1321.696395,1295.948,M,Technology,Hua Shen,2149,Semiconductors
Malaysia,1320.551429,1332.94,M,Real Estate,Jeffrey Cheah,2107,"Property, healthcare"
United States,1319.908916,1310.05,M,Real Estate,George Marcus,2134,Real estate
China,1319.570986,1342.792,M,Media & Entertainment,Zhou Yahui,2099,online games
Russia,1319.527995,1319.528,M,Energy,Rustem Sulteev,2120,"Refinery, chemicals"
China,1318.599863,1318.6,M,Technology,Mao Lixiang & family,2122,Cooking appliances
Brazil,1318.269232,1316.493,M,Fashion & Retail,Antonio Luiz Seabra,2124,Cosmetics
United States,1317.02368,1293.491,M,Technology,Tony Xu,2153,food delivery service
United States,1315.187,1315.187,M,Finance & Investments,Gregg Hymowitz,2127,Asset management
United States,1315.0,1315.0,M,Finance & Investments,Joel Greenberg,2128,"Trading, investments "
China,1314.353384,1319.471,F,Food & Beverage,Xuhui Li,2121,Soy sauce 
Malaysia,1311.669682,1304.15,F,Finance & Investments,Diana Teh Li Shing,2139,Banking
Malaysia,1311.669682,1304.15,F,Finance & Investments,Lillian Teh Li Ming,2139,Banking
Malaysia,1311.669682,1304.15,F,Finance & Investments,Lillyn Teh Li Hua,2139,Finance
Malaysia,1311.669682,1304.15,M,Finance & Investments,William Teh Lee Pang,2139,Banking
United States,1311.4176,1311.418,M,Finance & Investments,Matthew Roszak,2132,Cryptocurrency
Turkey,1309.737986,1294.37,F,Diversified,Deniz Sahenk,2152,Diversified
Hong Kong,1308.103284,1306.764,M,Real Estate,Yu Peidi,2137,Real estate
India,1307.104418,1317.748,M,Healthcare,G.V. Prasad,2123,Pharmaceuticals
India,1304.296761,1309.526,M,Manufacturing,Girdhari Jaisinghani,2135,cables & wires
Russia,1303.0,1303.0,F,Construction & Engineering,Elena Baturina,2144,"Investments, real estate"
Taiwan,1300.509691,1311.913,M,Real Estate,Richard Chang,2131,"Real estate, electronics"
China,1300.0,1300.0,M,Fashion & Retail,Charlwin Mao,2145,E-commerce
China,1300.0,1300.0,F,Fashion & Retail,Qu Miranda,2145,E-commerce 
China,1299.877418,1288.172,M,Media & Entertainment,Huang Qiaoling,2159,Amusement parks
United States,1299.59071,1296.761,M,Technology,Mike Speiser,2147,Software
India,1298.272072,1311.073,M,Automotive,Pawan Munjal,2133,Two wheelers
Japan,1297.250365,1357.568,M,Media & Entertainment,Yasuhiro Fukushima,2074,video games
United States,1296.663634,1290.571,M,Energy,Dean Solon,2156,Solar systems
United States,1296.0,1296.0,M,Finance & Investments,Jahm Najafi,2148,Investments
Spain,1295.893793,1295.894,M,Fashion & Retail,Fernando Roig,2150,Supermarkets
Taiwan,1292.886653,1282.738,M,Technology,Scott Lin,2175,Optical components
China,1291.243,1295.704,M,Automotive,William Li,2151,Electric vehicles
Israel,1291.0,1291.0,M,Automotive,Ziv Aviram,2155,Automotive technology
Sweden,1290.918676,1268.489,M,Gambling & Casinos,Fredrik Österberg,2198,Gambling products
China,1290.652918,1292.831,M,Diversified,Wu Xushun & family,2154,Internet
United States,1290.453,1287.474,M,Service,Kenneth Tuchman,2164,Call centers
United States,1290.339283,1286.753,M,Fashion & Retail,Robert Fisher,2165,Gap
India,1290.19556,1286.391,M,Manufacturing,Rajju Shroff,2167,Agrochemicals
United States,1290.0,1290.0,M,Technology,Michael Krasny,2157,Retail
China,1288.835488,1282.565,M,Manufacturing,Hui Lin Chit,2176,Hygiene products
Brazil,1287.735442,1287.735,F,Diversified,Neide Helena de Moraes,2161,Diversified
Brazil,1287.700523,1287.701,M,Diversified,Jose Ermirio de Moraes Neto,2162,Diversified
Brazil,1287.700523,1287.701,M,Diversified,Jose Roberto Ermirio de Moraes,2162,Diversified
United States,1286.806904,1288.09,M,Finance & Investments,Joseph Bae,2160,Private equity
Brazil,1285.528661,1283.319,M,Real Estate,Jose Isaac Peres & family,2172,Shopping malls
United States,1284.0,1284.0,M,Energy,Timothy Dunn & family,2169,Energy
Singapore,1283.42711,1283.427,M,Media & Entertainment,Min-Liang Tan,2171,gaming
China,1282.176732,1303.314,M,Automotive,Tang Aoqi & family,2143,Auto parts
United States,1282.0,1282.0,M,Fashion & Retail,Richard Saghian,2177,Fast fashion
United States,1281.8,1281.8,M,Sports,Hal Steinbrenner,2178,Sports
United States,1281.8,1281.8,F,Sports,Jennifer Steinbrenner Swindal,2178,Sports
United States,1281.8,1281.8,F,Sports,Jessica Steinbrenner,2178,Sports
China,1280.893068,1271.7,M,Manufacturing,Liu Chengyu & family,2191,Power supply equipment
United States,1280.53323,1280.533,M,Finance & Investments,Seth Klarman,2181,Investments
Turkey,1280.417164,1265.138,M,Media & Entertainment,Aydin Dogan,2201,Media
China,1279.705972,1269.312,M,Fashion & Retail,Zhou Chengjian,2196,Fashion retail
Sweden,1279.586702,1307.934,M,Finance & Investments,Conni Jonsson,2136,Asset management 
China,1279.476322,1270.329,M,Healthcare,Rao Wei & family,2194,Pharmaceuticals
India,1278.853422,1278.853,M,Fashion & Retail,Sachin Bansal,2184,Flipkart
China,1278.008236,1283.098,M,Manufacturing,Qin Long,2173,Tire
Morocco,1275.942612,1279.265,M,Finance & Investments,Othman Benjelloun & family,2182,"Banking, insurance"
Denmark,1274.96,1274.96,M,Logistics,Martin Moller Nielsen,2188,Aircraft leasing
China,1274.032757,1278.994,M,Technology,Chang Jing,2183,Technology 
United States,1272.3106,1271.145,M,Finance & Investments,Michael Steinhardt,2193,Hedge funds
India,1271.986885,1257.909,M,Finance & Investments,Rajesh Sharma,2208,Finance
China,1270.807741,1271.544,M,Food & Beverage,Yubai Zhang,2192,Wine
Switzerland,1270.359797,1276.874,M,Manufacturing,Werner O. Weber,2186,Electronic components
United Kingdom,1270.090252,1270.09,M,Fashion & Retail,Ben Francis,2195,Fitness clothing
Italy,1268.619929,1268.62,F,Construction & Engineering,Simona Giorgetta,2197,Chemical products
China,1268.353604,1276.326,F,Manufacturing,Zhong Ruonong & family,2187,Electronics
United States,1267.49392,1262.755,M,Healthcare,Alan Miller & family,2205,Healthcare services
Australia,1264.996789,1264.997,M,Real Estate,John Van Lieshout,2202,Real estate
United States,1264.757098,1264.758,M,Manufacturing,George Pedersen & family,2203,Defense contractor
China,1264.671764,1284.783,F,Media & Entertainment,Li Qiong,2168,online games
Vietnam,1264.666804,1288.643,M,Finance & Investments,Ho Hung Anh,2158,"Consumer products, banking"
United States,1264.42208,1277.595,M,Healthcare,John Oyler,2185,Biotech
Israel,1262.63184,1264.732,M,Gambling & Casinos,Shalom Meckenzie,2204,sports betting
China,1262.312968,1229.608,F,Automotive,Qian Jinghong,2234,Electric scooters
United States,1261.08368,1259.686,M,Manufacturing,John Farber,2206,Chemicals
India,1259.889934,1272.035,M,Manufacturing,Sunil Vachani,2190,electronics
Indonesia,1259.885934,1286.509,M,Diversified,Murdaya Poo,2166,Diversified
United States,1258.98784,1273.142,M,Technology,Mark Pincus,2189,Online games
Indonesia,1258.838074,1230.392,M,Metals & Mining,Eddy Sugianto,2230,Coal
Egypt,1257.0,1257.0,M,Diversified,Yasseen Mansour,2209,Diversified 
Hong Kong,1256.826726,1306.328,M,Technology,Huang Jiangji,2138,smartphones
Canada,1255.994262,1266.571,M,Fashion & Retail,Réal Plourde,2199,Convenience stores
Brazil,1254.171716,1254.172,M,Food & Beverage,Hugo Ribeiro & family,2211,Agribusiness
Germany,1250.133561,1250.134,M,Food & Beverage,Clemens Toennies,2212,Meat processing
Germany,1250.133561,1250.134,M,Food & Beverage,Robert Toennies,2212,Meat processing
South Korea,1247.508,1247.508,M,Technology,Lee Su-jin,2214,Hospitality
China,1246.116641,1231.853,M,Manufacturing,Zheng Xiaodong,2223,Manufacturing
China,1243.393549,1229.897,F,Metals & Mining,Li Jinyang,2232,Mining 
China,1243.244125,1213.626,F,Diversified,Fengluan Li,2254,"Steel, diversified"
India,1242.918552,1221.965,M,Finance & Investments,George Alexander Muthoot,2241,financial services
India,1242.918552,1221.965,F,Finance & Investments,Sara George Muthoot,2241,financial services
China,1241.738312,1265.268,M,Manufacturing,Shang Xiaobo & family,2200,Manufacturing
Canada,1241.696727,1241.697,M,Media & Entertainment,Guy Laliberté,2217,Cirque du Soleil
Sweden,1238.62,1238.62,M,Finance & Investments,Thomas Sandell,2218,Hedge funds
United States,1238.347511,1231.042,M,Healthcare,David Paul,2227,Medical devices
United States,1236.93075,1234.078,M,Fashion & Retail,Gary Friedman,2220,Furniture retail
China,1235.414322,1244.353,M,Fashion & Retail,Huang Guanlin,2215,"Textiles, apparel"
Israel,1234.929926,1231.427,F,Food & Beverage,Drorit Wertheim,2225,Coca Cola Israel
Taiwan,1234.622558,1255.546,M,Technology,Cho Jyh-jer,2210,Semiconductors
China,1234.201535,1232.076,M,Real Estate,Pan Shiyi,2222,Real estate
Russia,1232.671728,1232.672,M,Diversified,Boris Zingarevich,2221,"Pulp and paper, diversified"
Brazil,1231.791722,1231.792,M,Media & Entertainment,Edir Macedo & family,2224,broadcasting
United States,1231.229537,1313.685,M,Real Estate,Sun Hongbin,2130,real estate
India,1230.951661,1243.033,M,Automotive,Suman Munjal,2216,Motorcycles
Russia,1230.212696,1230.213,M,Real Estate,Pavel Golubkov,2231,"Building, development"
Italy,1229.942593,1282.831,M,Fashion & Retail,Sandro Veronesi & family,2174,Fashion
Russia,1229.753073,1229.753,M,Fashion & Retail,Sergei Studennikov & family,2233,"Liquor stores, supermarkets"
Italy,1229.152908,1227.809,F,Finance & Investments,Annalisa Doris,2236,Financial services
India,1228.650286,1207.697,M,Finance & Investments,George Jacob Muthoot,2261,financial services
India,1228.650286,1207.697,M,Finance & Investments,George Thomas Muthoot,2261,financial services
Italy,1228.421083,1227.078,M,Finance & Investments,Massimo Doris,2237,Financial services
Netherlands,1228.229512,1228.23,M,Media & Entertainment,Joop van den Ende,2235,TV shows
Sweden,1228.074739,1206.946,M,Gambling & Casinos,Jens von Bahr,2263,Gambling products
United States,1227.675493,1231.232,M,Technology,Sehat Sutardja,2226,Semiconductors
India,1226.289133,1238.308,F,Automotive,Renu Munjal,2219,Two wheelers
Brazil,1224.708738,1221.873,M,Manufacturing,Liu Ming Chung,2243,Paper
Germany,1224.489796,1224.49,F,Manufacturing,Christine Knauf,2238,Building materials
Germany,1224.489796,1224.49,M,Manufacturing,Karl Knauf,2238,Building materials
United States,1224.05744,1344.297,M,Finance & Investments,Randal Nardone,2095,"Investments, energy"
India,1222.94173,1259.368,M,Finance & Investments,Sanjay Agarwal,2207,Banking
United States,1222.52297,1224.43,M,Technology,Frederic Luddy,2240,Software
Turkey,1222.006523,1209.182,M,Healthcare,Mehmet Aydinlar,2259,Hospitals
United States,1221.187806,1194.429,M,Manufacturing,Liu Xiucai & family,2282,Chemicals
China,1220.165078,1201.853,M,Automotive,Wang Jianfeng & family,2267,Auto parts
Hungary,1220.122876,1220.123,M,Manufacturing,Zsolt Felcsuti,2244,Manufacturing
United States,1220.1,1220.1,M,Service,Gary Tharaldson,2245,Hotels
Germany,1219.809808,1219.81,M,Media & Entertainment,Mathias Doepfner,2246,Media
Germany,1218.078855,1218.079,M,Healthcare,Bernhard Braun-Luedicke,2247,Medical technology
Germany,1218.078855,1218.079,F,Healthcare,Eva Maria Braun-Luedicke,2247,Medical technology
Germany,1218.078855,1218.079,F,Healthcare,Friederike Braun-Luedicke,2247,Medical technology
China,1217.048,1192.341,M,Technology,Eric Ya Shen,2284,Online apparel retail
Turkey,1216.311697,1199.357,M,Construction & Engineering,Mehmet Sinan Tara,2274,Construction
Sweden,1214.975603,1214.976,M,Media & Entertainment,Markus Persson,2253,Computer games
Spain,1213.188253,1202.531,F,Food & Beverage,Carmen Daurella Aguilera,2266,Coca-Cola bottler
China,1213.064105,1216.418,M,Real Estate,Zhang Keqiang,2252,Real estate
Israel,1212.096,1212.096,M,Metals & Mining,Dan Gertler,2257,Mining
China,1212.001113,1217.255,M,Healthcare,Shi Yifeng,2251,Medical cosmetics
Canada,1210.93115,1230.708,F,Finance & Investments,Catherine Phillips,2228,investments
Canada,1210.93115,1230.708,M,Finance & Investments,John Phillips,2228,investments
China,1210.057378,1210.792,M,Food & Beverage,Tingdong Yang,2258,Brewery
St. Kitts and Nevis,1207.99838,1203.766,M,Fashion & Retail,Myron Wentz,2264,Health products
Taiwan,1207.911601,1212.518,M,Automotive,Chin Jong Hwa,2255,Auto parts
Canada,1207.653726,1202.829,F,Healthcare,Yuan Liping,2265,Pharmaceuticals
China,1204.081331,1196.208,M,Manufacturing,Wu Bo,2279,Machinery
Taiwan,1203.870407,1198.534,M,Manufacturing,Wang Shih-Chung,2275,Pneumatic equipments
China,1203.851612,1193.413,M,Manufacturing,Fang Hongbo,2283,Home appliances
China,1201.934632,1212.219,M,Logistics,Lu Zongjun,2256,Logistics
Romania,1200.0,1200.0,M,Technology,Ion Stoica,2268,Data analytics
United States,1200.0,1200.0,M,Manufacturing,Jimmy Rane,2268,Lumber
United States,1200.0,1200.0,M,Finance & Investments,Lawrence Golub,2268,Private equity
Romania,1200.0,1200.0,M,Technology,Matei Zaharia,2268,Data analytics
United States,1200.0,1200.0,M,Technology,Tope Awotona,2268,Software
United Kingdom,1199.532652,1199.533,M,Media & Entertainment,Richard Desmond,2273,Publishing
Indonesia,1198.932718,1217.508,M,Manufacturing,Haryanto Tjiptodihardjo,2250,Manufacturing
Lebanon,1198.04336,1198.043,M,Construction & Engineering,Fahed Hariri,2276,"Construction, investments"
China,1197.048631,1171.959,M,Technology,Wang Minwen,2300,Semiconductor
China,1196.780279,1191.751,F,Automotive,Lu Zhongfang,2285,Education
Italy,1194.726887,1194.727,M,Construction & Engineering,Marco Squinzi,2280,Chemical products
Italy,1194.726887,1194.727,F,Construction & Engineering,Veronica Squinzi,2280,Chemical products
Russia,1190.49705,1190.497,M,Technology,Arkady Volozh,2288,Search engine
Qatar,1190.330514,1183.877,M,Finance & Investments,Hamad bin Jassim bin Jaber Al Thani,2293,Investments
Belgium,1189.737365,1190.414,M,Manufacturing,Luc Tack,2289,"Textile, chemicals"
